TEAM,YEAR,APG,RPG,TPG,SPG,ORPG,PPG,MARCH MADNESS,FINAL FOUR,FINALS,WINNER
Abilene Christian,2018,15.1,34.2,14.4,8.13,9.66,73.7,0,0,0,0
Air Force,2018,14.4,32.7,12.6,6.48,9.74,68.5,0,0,0,0
Akron,2018,13.1,33.5,13.8,5.91,9.56,71.8,0,0,0,0
Alabama NCAA,2018,12.7,35.8,14.3,6.33,10,72.3,1,0,0,0
Alabama A&M,2018,11,33.7,16.6,3.97,10.8,60.4,0,0,0,0
Alabama State,2018,10.1,36.5,14.1,5.45,12.7,68.7,0,0,0,0
Albany (NY),2018,12.7,37.2,11.6,4.69,11.8,74.2,0,0,0,0
Alcorn State,2018,13.1,34.5,14.3,6.25,9.53,70.1,0,0,0,0
American,2018,12.2,29,13.8,7.23,8.07,65.4,0,0,0,0
Appalachian State,2018,12.5,39.2,13.8,6,11.8,76.4,0,0,0,0
Arizona NCAA,2018,15.2,36.5,12.2,4.94,10.1,80.5,1,0,0,0
Arizona State NCAA,2018,14.3,35.2,10.7,6.53,9.84,82.7,0,0,0,0
Arkansas NCAA,2018,14.3,34.5,10.9,6.23,10,80.5,1,0,0,0
Arkansas State,2018,10.8,33.5,13.1,6.72,11.2,74,0,0,0,0
Arkansas-Pine Bluff,2018,12.2,29.3,14.3,7.86,7.97,65.9,0,0,0,0
Army,2018,16.7,35.8,13.4,5.67,10.1,74.3,0,0,0,0
Auburn NCAA,2018,14.1,37.9,12.1,7.41,12,81.9,1,0,0,0
Austin Peay,2018,13.3,35.6,14.1,6.62,13.1,73.9,0,0,0,0
Ball State,2018,14.2,37.8,13.2,5.31,10,75.3,0,0,0,0
Baylor,2018,15.2,38,13.6,5.44,11.8,75.6,0,0,0,0
Belmont,2018,16,34.3,12.4,4.88,7.82,77.6,0,0,0,0
Bethune-Cookman,2018,15.7,42.1,15.8,6.31,13.3,81.9,0,0,0,0
Binghamton,2018,12.1,34.4,12.3,5.48,9.13,69.3,0,0,0,0
Boise State,2018,13.3,38.5,13.5,5.72,10,78.2,0,0,0,0
Boston College,2018,14.1,36.9,12.6,5,10.5,76.4,0,0,0,0
Boston University,2018,13.5,33.7,13.8,7.39,9.71,70.5,0,0,0,0
Bowling Green State,2018,13.3,38.3,12.8,5.91,11.6,75.9,0,0,0,0
Bradley,2018,13.5,35.7,13.4,6.48,10.9,67.4,0,0,0,0
Brigham Young,2018,15.2,32.7,11.5,6.4,6.91,74.3,0,0,0,0
Brown,2018,12.5,36.6,13.5,6.44,11.5,77,0,0,0,0
Bryant,2018,13.5,32.3,12.9,6.13,10.1,70,0,0,0,0
Bucknell NCAA,2018,14.4,36.6,12.5,5.54,9.29,81.1,1,0,0,0
Buffalo NCAA,2018,16.6,38.6,12.4,6.25,11.9,84.6,1,0,0,0
Butler NCAA,2018,14,34.2,11.2,6.63,9.26,78.9,1,0,0,0
Cal Poly,2018,12,33.4,11.8,4.97,9.39,67.2,0,0,0,0
Cal State Bakersfield,2018,12.9,35.6,13.9,6.07,11.4,66,0,0,0,0
Cal State Fullerton NCAA,2018,12.6,35.1,14.2,6.28,8.75,72.4,1,0,0,0
Cal State Northridge,2018,12.2,31.3,12.2,4.97,8.23,66.1,0,0,0,0
California,2018,9.78,35.6,14.7,6.88,13.3,67.7,0,0,0,0
Campbell,2018,14.2,31.9,11.9,6.71,6.79,75.9,0,0,0,0
Canisius,2018,16.8,33.4,13,7.03,10.2,76.3,0,0,0,0
Central Arkansas,2018,16.2,36.3,13.7,6.66,10.3,80.5,0,0,0,0
Central Connecticut State,2018,12.4,35.3,14.8,5.03,10,67.8,0,0,0,0
Central Florida,2018,10.6,34.6,13.5,5.28,9.53,62.7,0,0,0,0
Central Michigan,2018,13.7,36.3,11.6,6.33,11.3,78.8,0,0,0,0
Charleston Southern,2018,11.9,34.5,13.2,7.23,11.1,72,0,0,0,0
Charlotte,2018,11,34.1,14.8,5.69,9.31,71.2,0,0,0,0
Chattanooga,2018,12.8,32.5,13.9,5.03,9.3,69.4,0,0,0,0
Chicago State,2018,11.5,32.6,15.1,7.25,10.1,67.8,0,0,0,0
Cincinnati NCAA,2018,15.8,39.3,11.2,7.11,13.3,74.3,1,0,0,0
Clemson NCAA,2018,13.2,35.9,11.8,5.66,8.94,73.8,1,0,0,0
Cleveland State,2018,13,30.4,13.1,6.6,7.71,68.6,0,0,0,0
Coastal Carolina,2018,13.1,38.9,15,5.34,12.1,71.8,0,0,0,0
Colgate,2018,12.9,32.8,11,6.09,9.06,72.5,0,0,0,0
College of Charleston NCAA,2018,11.4,33.2,9.97,5.21,8.41,74.6,1,0,0,0
Colorado,2018,12.8,37.5,14.1,4.38,10.1,72.1,0,0,0,0
Colorado State,2018,12.8,37.5,13.3,5.94,11.7,72.3,0,0,0,0
Columbia,2018,14.2,35.6,12.5,6.56,10.3,76.4,0,0,0,0
Connecticut,2018,10.4,34.3,12.6,5.94,10.5,68.2,0,0,0,0
Coppin State,2018,10.6,33.8,14.4,5.38,8.53,60.8,0,0,0,0
Cornell,2018,16,34.3,13.4,5.14,8.29,75.9,0,0,0,0
Creighton NCAA,2018,17.8,36.5,11.2,5.67,7.55,83.5,1,0,0,0
Dartmouth,2018,13.3,31.4,13.5,5.63,7.7,68.2,0,0,0,0
Davidson NCAA,2018,16.7,32.7,9.55,4.7,6.94,76.3,1,0,0,0
Dayton,2018,15.7,31.2,13.7,5.23,7.74,72.4,0,0,0,0
Delaware,2018,11.7,34.8,10.7,4.97,9.52,70.8,0,0,0,0
Delaware State,2018,10.9,33.3,15.3,5.91,10.6,63.6,0,0,0,0
Denver,2018,15.1,36.9,15,4.3,10.4,73.1,0,0,0,0
DePaul,2018,15,37.4,13.9,6.45,12.4,71.9,0,0,0,0
Detroit Mercy,2018,13.7,34.8,13.6,6.63,10.5,78.6,0,0,0,0
Drake,2018,14.8,34.1,12.1,6,8.21,73.7,0,0,0,0
Drexel,2018,11.5,36.3,12.4,5.33,11.2,74.4,0,0,0,0
Duke NCAA,2018,17.5,41.1,12.4,7.43,13.4,84.4,1,0,0,0
Duquesne,2018,11.9,35.9,12,5.81,12.1,72.4,0,0,0,0
East Carolina,2018,12.9,34,14.4,4.93,9.73,66.4,0,0,0,0
East Tennessee State,2018,14.7,37.2,13.4,7.79,10.4,75.2,0,0,0,0
Eastern Illinois,2018,12.6,34.3,13.5,5.87,10.7,66.6,0,0,0,0
Eastern Kentucky,2018,13.1,33,12.9,6.23,9.58,71.9,0,0,0,0
Eastern Michigan,2018,12.9,35.1,12.8,8.66,10.2,71.7,0,0,0,0
Eastern Washington,2018,12.6,33.2,11.5,5.29,7.37,74.8,0,0,0,0
Elon,2018,15.8,35.6,11.7,4.38,8.06,73.3,0,0,0,0
Evansville,2018,13,33.1,13.5,5.94,7.72,65.4,0,0,0,0
Fairfield,2018,14.8,35.1,12.8,6.39,9.06,75.9,0,0,0,0
Fairleigh Dickinson,2018,13.4,34.4,13.7,7.1,10.9,74.6,0,0,0,0
Florida NCAA,2018,13.1,35.2,9.85,6.97,10.8,75.8,1,0,0,0
Florida A&M,2018,10.9,32.2,13.9,5.71,10.2,68.9,0,0,0,0
Florida Atlantic,2018,12.1,38.5,12.7,5.87,11.5,69.5,0,0,0,0
Florida Gulf Coast,2018,15.3,38.2,14.1,7.31,10.5,81.3,0,0,0,0
Florida International,2018,11.8,35.9,11.1,7.56,9.97,70.7,0,0,0,0
Florida State NCAA,2018,14.9,37.8,13,6.89,11.4,80.2,1,0,0,0
Fordham,2018,13.5,28.5,12.5,9.13,6.42,62.3,0,0,0,0
Fresno State,2018,13,33.8,12,6.78,9.16,76.8,0,0,0,0
Furman,2018,15.9,35.1,11.6,8.03,9.61,79.4,0,0,0,0
Gardner-Webb,2018,13,35.7,13.7,6.09,9.38,70.6,0,0,0,0
George Mason,2018,11.5,36.8,12.9,6.06,9.97,71.8,0,0,0,0
George Washington,2018,13.3,33.9,12.7,5.73,10.6,67.4,0,0,0,0
Georgetown,2018,17.4,38.4,15.3,5.47,10.9,78.3,0,0,0,0
Georgia,2018,12.2,39.4,12.7,3.82,12.3,68.1,0,0,0,0
Georgia Southern,2018,10.1,37.8,11.3,6.88,12.2,75.9,0,0,0,0
Georgia State NCAA,2018,13,33.8,11.3,7.31,8.83,74.7,1,0,0,0
Georgia Tech,2018,12.8,33.9,12.8,6.91,10.4,65.7,0,0,0,0
Gonzaga NCAA,2018,15.2,39.9,11.4,6.32,11.2,83.5,1,0,0,0
Grambling,2018,11,38.5,15.4,7.71,12.2,72.8,0,0,0,0
Grand Canyon,2018,15.9,38.5,13.2,6.21,11.9,73.9,0,0,0,0
Green Bay,2018,13.9,37.6,13.7,6.85,10.1,76.3,0,0,0,0
Hampton,2018,15.2,40.4,12.9,5.38,11.3,79.5,0,0,0,0
Hartford,2018,13.1,33.3,12.2,6.06,8.42,70.5,0,0,0,0
Harvard,2018,12.7,34.8,13.9,5.41,8.88,68.2,0,0,0,0
Hawaii,2018,14.3,33.2,13.4,5.63,8.87,70.1,0,0,0,0
High Point,2018,11.8,34.6,12.5,7.4,10.8,70.9,0,0,0,0
Hofstra,2018,13.3,35.6,10.8,5.03,11,79.5,0,0,0,0
Holy Cross,2018,13.6,28.4,12.3,6.23,5.74,63.6,0,0,0,0
