TEAM,YEAR,APG,RPG,TPG,SPG,ORPG,PPG
Abilene Christian,2023,15.7,32.4,12.6,8.8,10.2,75
Air Force,2023,15.3,29.6,12.2,5.75,6.66,66.9
Akron,2023,13.4,35.7,11.2,6.03,10.2,74.6
Alabama NCAA,2023,15.2,44.4,14.1,6.06,12.8,82.2
Alabama A&M,2023,12.7,32.7,15.1,8,10.1,69.6
Alabama State,2023,9.97,36,13.4,5.87,12.5,63.3
Albany (NY),2023,11.7,33.3,13.4,5.74,10.2,67.3
Alcorn State,2023,10,33.9,12.7,8.03,11.9,68.1
American,2023,13.6,30.3,14,7.44,8.09,65.4
Appalachian State,2023,13,35.7,11,6.38,9,70.3
Arizona NCAA,2023,19.2,39.4,13.4,6.12,10.3,82.7
Arizona State NCAA,2023,14.2,36.9,11.8,7.26,11.3,70.3
Arkansas NCAA,2023,13.4,35.2,12.9,8.39,10,74.4
Arkansas State,2023,13.1,33.6,11.7,6.67,9.85,65.7
Arkansas-Pine Bluff,2023,12.8,34.5,15.3,8.06,10.1,66.9
Army,2023,13.1,34.3,12.9,5.09,8.48,73.1
Auburn NCAA,2023,14.2,36.2,12.5,8,11.7,72.7
Austin Peay,2023,12.5,31.4,11.7,7.1,10.1,66.7
Ball State,2023,13.2,35.8,12.2,5.5,10.5,76.4
Baylor NCAA,2023,14.5,34.3,12.3,6.66,11.7,77.2
Bellarmine,2023,14.2,29.1,11.2,5.58,6.58,66.3
Belmont,2023,15.3,33,11.4,7.03,8.34,76.5
Bethune-Cookman,2023,11.2,32.3,12.7,7.15,9.91,67.6
Binghamton,2023,11.6,35,13,4.65,9.71,68.8
Boise State NCAA,2023,11.2,35.6,11.2,5.12,8.7,72.2
Boston College,2023,12.5,33.1,12.3,6.36,9.33,66.6
Boston University,2023,10.5,35.5,12,6.41,10.3,67.1
Bowling Green State,2023,13.8,35.8,12.2,6.06,10.5,76
Bradley,2023,13.3,35.4,11.7,6.8,9.74,70.7
Brigham Young,2023,14.7,37.4,14.1,7.38,11,75.5
Brown,2023,13.8,34.9,13.4,7.19,8.93,69.6
Bryant,2023,13.4,39.3,13.4,6.67,10.6,79.4
Bucknell,2023,13.4,33.9,13.3,5.5,8.13,67.5
Buffalo,2023,14.7,37.8,14.1,7.94,11.8,77.5
Butler,2023,12.6,29.9,11.8,6.75,6.47,65.3
Cal Poly,2023,10.3,32.7,13.8,5.48,8.52,60.8
Cal State Bakersfield,2023,10.8,32,12.8,6.21,9.42,60.5
Cal State Fullerton,2023,10.3,33.6,11.8,6.48,9.18,69.2
Cal State Northridge,2023,9.81,33.3,12.5,6.28,9.78,63.4
California,2023,9.63,31.5,13,4.72,8.69,58.3
California Baptist,2023,14.3,37.2,11.5,4.42,11,69.4
Campbell,2023,12.2,31.4,11.9,6.24,7.85,69.8
Canisius,2023,14.4,33.6,11.9,5.6,10.4,70.4
Central Arkansas,2023,12.4,36.4,13.3,6.52,11.2,72.9
Central Connecticut State,2023,12.9,34.1,11.9,5.59,10.1,66
Central Florida,2023,14.2,35,13.2,7.41,11.7,72.2
Central Michigan,2023,10.7,35.4,15.9,5.84,11.1,65.7
Charleston Southern,2023,12,35.2,11.8,5.06,11.6,72.6
Charlotte,2023,12.9,29.9,10.8,5.34,6.66,66.7
Chattanooga,2023,15.3,36.2,11.6,5.71,9.57,77.2
Chicago State,2023,12.2,35.2,13.6,5.65,11.8,70.3
Cincinnati,2023,15.8,36.9,10.6,6.27,10.9,77.2
Clemson,2023,14.3,35,11.2,5.15,7.39,75
Cleveland State,2023,13.4,35.7,11.6,6.97,12.6,71.7
Coastal Carolina,2023,12.4,37.2,12.2,6.06,11.3,73.3
Colgate NCAA,2023,18.6,34,10.2,6.97,7.94,78.6
College of Charleston NCAA,2023,13.8,40.5,12,7.35,13.6,80.8
Colorado,2023,13,37.4,13.3,7.38,11.1,69.9
Colorado State,2023,16.5,30.7,11.2,5.67,5.97,72.5
Columbia,2023,11.7,34.4,13.8,6.76,10.2,67.8
Connecticut NCAA,2023,17.3,39,13,6.53,13.5,78.7
Coppin State,2023,11.3,30.4,14.9,7.69,6.44,72
Cornell,2023,17.5,34.4,12.4,9.71,10.4,81.7
Creighton NCAA,2023,15.9,37.2,11.6,5.24,8.45,76.6
Dartmouth,2023,12.9,34.9,14.4,5.46,8.43,71.4
